Precio final S_{T};resíduos;Payoff neto;estado;Semilla
26.897277355334555;0.0;6.781040780806594;ITM;774792692
26.781450861115825;0.0;6.665214286587863;ITM;774792692
37.149495901239014;0.0;17.033259326711054;ITM;774792692
18.93652356456691;0.0;-1.1797130099610502;ITM;774792692
19.770799911522964;0.0;-0.34543666300499787;ITM;774792692
32.22313355585253;0.0;12.106896981324565;ITM;774792692
22.957840026878486;0.0;2.8416034523505243;ITM;774792692
21.826558456419306;0.0;1.7103218818913444;ITM;774792692
22.395272488394895;0.0;2.2790359138669327;ITM;774792692
21.937314903141896;0.0;1.8210783286139343;ITM;774792692
19.662729509148328;0.0;-0.45350706537963426;ITM;774792692
20.25106996379675;0.0;0.13483338926878652;ITM;774792692
29.146989962426122;0.0;9.03075338789816;ITM;774792692
19.254265982613273;0.0;-0.8619705919146892;ITM;774792692
23.312091161146824;0.0;3.1958545866188626;ITM;774792692
18.6637242243945;0.0;-1.4525123501334622;ITM;774792692
23.84622589681443;0.0;3.7299893222864693;ITM;774792692
18.481222568398042;0.0;-1.6350140061299197;ITM;774792692
27.812854873626733;0.0;7.6966182990987715;ITM;774792692
27.981118337668867;0.0;7.864881763140906;ITM;774792692
23.588641245681856;0.0;3.4724046711538943;ITM;774792692
20.635188717671298;0.0;0.5189521431433359;ITM;774792692
19.97494312714699;0.0;-0.14129344738097238;ITM;774792692
25.383535089593863;0.0;5.267298515065901;ITM;774792692
18.45243438031401;0.0;-1.663802194213952;ITM;774792692
18.632138832420008;0.0;-1.484097742107954;ITM;774792692
19.457737238949885;0.0;-0.6584993355780764;ITM;774792692
30.898987393464502;0.0;10.78275081893654;ITM;774792692
23.598931383369678;0.0;3.482694808841716;ITM;774792692
20.44112530550222;0.0;0.32488873097425675;ITM;774792692
20.09862313378102;0.0;-0.017613440746940157;ITM;774792692
18.06451310793932;0.0;-2.0517234665886424;ITM;774792692
23.301840344647072;0.0;3.1856037701191102;ITM;774792692
20.21835819388283;0.0;0.10212161935486641;ITM;774792692
29.721014559905996;0.0;9.604777985378034;ITM;774792692
26.355458458029826;0.0;6.239221883501864;ITM;774792692
22.80170819514363;0.0;2.685471620615667;ITM;774792692
26.589543413323966;0.0;6.473306838796004;ITM;774792692
26.731714682055333;0.0;6.615478107527371;ITM;774792692
30.516093950965942;0.0;10.39985737643798;ITM;774792692
20.215375602722453;0.0;0.09913902819449127;ITM;774792692
32.681217457006746;0.0;12.564980882478784;ITM;774792692
19.146477007854326;0.0;-0.9697595666736358;ITM;774792692
26.867097845441393;0.0;6.750861270913431;ITM;774792692
18.420615484992954;0.0;-1.695621089535008;ITM;774792692
19.166275752454563;0.0;-0.9499608220733986;ITM;774792692
25.377696713312293;0.0;5.261460138784331;ITM;774792692
28.97603693436416;0.0;8.859800359836198;ITM;774792692
24.3931462257122;0.0;4.276909651184239;ITM;774792692
20.413620308354954;0.0;0.297383733826992;ITM;774792692
20.647249517513835;0.0;0.531012942985873;ITM;774792692
22.569169180357473;0.0;2.4529326058295116;ITM;774792692
20.287831351024856;0.0;0.17159477649689414;ITM;774792692
24.503809283584012;0.0;4.38757270905605;ITM;774792692
19.865553331977726;0.0;-0.25068324255023633;ITM;774792692
26.563543027289935;0.0;6.447306452761973;ITM;774792692
19.156975641680013;0.0;-0.9592609328479487;ITM;774792692
19.144611156763865;0.0;-0.9716254177640966;ITM;774792692
23.103445760325375;0.0;2.987209185797413;ITM;774792692
21.03259222791756;0.0;0.9163556533895996;ITM;774792692
21.963709986445643;0.0;1.8474734119176812;ITM;774792692
32.39813926272563;0.0;12.281902688197667;ITM;774792692
19.457678967920366;0.0;-0.6585576066075962;ITM;774792692
18.573059304944113;0.0;-1.5431772695838486;ITM;774792692
24.475706063912064;0.0;4.359469489384102;ITM;774792692
13.002213422886873;0.0;-2.2062365745279617;OTM;774792692
7.954405133950164;0.0;-2.2062365745279617;OTM;774792692
15.701601239769206;0.0;-2.2062365745279617;OTM;774792692
14.596942858141247;0.0;-2.2062365745279617;OTM;774792692
16.79406285721777;0.0;-2.2062365745279617;OTM;774792692
15.661890537360716;0.0;-2.2062365745279617;OTM;774792692
12.738473277029353;0.0;-2.2062365745279617;OTM;774792692
17.450243216341637;0.0;-2.2062365745279617;OTM;774792692
17.437821467634105;0.0;-2.2062365745279617;OTM;774792692
16.18491147898155;0.0;-2.2062365745279617;OTM;774792692
14.859160419336739;0.0;-2.2062365745279617;OTM;774792692
11.328539766437219;0.0;-2.2062365745279617;OTM;774792692
16.44222769781103;0.0;-2.2062365745279617;OTM;774792692
14.361847154350771;0.0;-2.2062365745279617;OTM;774792692
14.336691960600144;0.0;-2.2062365745279617;OTM;774792692
14.905223088321746;0.0;-2.2062365745279617;OTM;774792692
13.896997958361906;0.0;-2.2062365745279617;OTM;774792692
17.26385414020834;0.0;-2.2062365745279617;OTM;774792692
14.66784822622311;0.0;-2.2062365745279617;OTM;774792692
17.382444736127347;0.0;-2.2062365745279617;OTM;774792692
13.582904498710995;0.0;-2.2062365745279617;OTM;774792692
15.503025699433378;0.0;-2.2062365745279617;OTM;774792692
13.65268673245031;0.0;-2.2062365745279617;OTM;774792692
12.839775517271752;0.0;-2.2062365745279617;OTM;774792692
17.598468870634953;0.0;-2.2062365745279617;OTM;774792692
16.701792880951153;0.0;-2.2062365745279617;OTM;774792692
15.644655283248085;0.0;-2.2062365745279617;OTM;774792692
15.05136321061969;0.0;-2.2062365745279617;OTM;774792692
16.127071941004086;0.0;-2.2062365745279617;OTM;774792692
16.681027443952704;0.0;-2.2062365745279617;OTM;774792692
11.613268383631558;0.0;-2.2062365745279617;OTM;774792692
14.85219117027769;0.0;-2.2062365745279617;OTM;774792692
12.318997905944691;0.0;-2.2062365745279617;OTM;774792692
12.41397084262058;0.0;-2.2062365745279617;OTM;774792692
16.464058738626726;0.0;-2.2062365745279617;OTM;774792692
